stt,question,ground_truth_answer,type,pure_llm_answer,retrieved_articles,num_retrieved
IV.16,Nghĩa vụ tài chính của người sử dụng đất bao gồm những gì?,"Bao gồm tiền sử dụng đất, tiền thuê đất, các loại thuế, phí và lệ phí liên quan đến đất đai. **(K3, Đ31, LĐĐ 2024\)**",Hỏi-Đáp,"Nghĩa vụ tài chính của người sử dụng đất bao gồm:

*   Tiền sử dụng đất
*   Tiền thuê đất
*   Thuế sử dụng đất
*   Thuế thu nhập từ chuyển quyền sử dụng đất
*   Lệ phí trước bạ
*   Các khoản phí và lệ phí khác liên quan đến quản lý, sử dụng đất đai.
",,0
IV.17,"Theo LĐĐ 2013, cộng đồng dân cư có được thế chấp QSDĐ không?","**Không**. **(K3, Đ179, LĐĐ 2013\)**",Hỏi-Đáp,"Không.
",,0
IV.18,Người sử dụng đất có phải tuân thủ quy định về bảo vệ môi trường không?,"**Có**, đây là một trong các nghĩa vụ chung. **(K5, Đ31, LĐĐ 2024\)**",Hỏi-Đáp,"Có.
",,0
IV.19,"Tổ chức kinh tế được miễn tiền sử dụng đất, khi chuyển nhượng có phải nộp tiền không?","**Có**, phải nộp một khoản tiền tương ứng với số tiền đã được miễn, giảm. **(K3b, Đ33, LĐĐ 2024\)**",Tình huống,"Có.
",,0
IV.20,"Quyền đối với thửa đất liền kề (lối đi, cấp thoát nước) được quy định như thế nào?","Được xác lập theo thỏa thuận hoặc theo quy định của pháp luật và phải đăng ký biến động. **(Đ29, LĐĐ 2024\)**",Hỏi-Đáp,"Được quy định tại Điều 252, 253, 254 Bộ luật Dân sự 2015.
",,0
V.1,So sánh hạn mức nhận chuyển quyền sử dụng đất nông nghiệp của cá nhân giữa 2 luật?,LĐĐ 2024: không quá **15 lần** hạn mức giao. LĐĐ 2013: không quá **10 lần**. **(So sánh Đ130 LĐĐ 2013 & Đ177 LĐĐ 2024\)**,So sánh,"Luật Đất đai 2024 bỏ quy định về hạn mức nhận chuyển quyền sử dụng đất nông nghiệp của cá nhân. Luật Đất đai 2013 quy định hạn mức này.
",,0
V.2,"Theo LĐĐ 2013, hạn mức giao đất trồng cây lâu năm cho cá nhân ở xã đồng bằng là bao nhiêu?","Không quá **10 héc ta**. **(K2, Đ129, LĐĐ 2013\)**",Hỏi-Đáp,"Không quá 10 héc ta.
",,0
V.3,"Đất xây dựng công trình sự nghiệp kết hợp thương mại, dịch vụ thì hình thức sử dụng đất là gì?","Phải chuyển sang **thuê đất trả tiền hằng năm** đối với phần diện tích kết hợp đó. **(K3, Đ218, LĐĐ 2024\)**",Tình huống,"Thuê đất.
",,0
V.4,Hạn mức giao đất trồng cây hàng năm ở Đồng bằng sông Cửu Long theo LĐĐ 2024 là bao nhiêu?,"Không quá **03 héc ta** cho mỗi loại đất. **(K1a, Đ176, LĐĐ 2024\)**",Hỏi-Đáp,"Không quá 3 héc ta.
",,0
V.5,Chuyển đất trồng lúa sang đất nuôi trồng thủy sản có cần xin phép không?,"**Có**. Đây là trường hợp chuyển mục đích sử dụng đất phải được cơ quan nhà nước có thẩm quyền cho phép. **(K1a, Đ121, LĐĐ 2024\)**",Tình huống,"Có.
",,0
V.6,Hạn mức giao đất ở tại nông thôn do ai quy định?,"Do **UBND cấp tỉnh** quy định, phù hợp với điều kiện, tập quán tại địa phương. **(K2, Đ195, LĐĐ 2024\)**",Hỏi-Đáp,"Ủy ban nhân dân cấp tỉnh.
",,0
V.7,"Theo LĐĐ 2013, diện tích đất nông nghiệp do nhận thừa kế có tính vào hạn mức giao đất không?","**Có**, diện tích đất nông nghiệp do được nhận thừa kế được tính vào hạn mức giao đất. **(K1a, Đ77, LĐĐ 2013\)**",Tình huống,"Có.
",,0
V.8,So sánh quy định về hạn mức nhận chuyển nhượng đất của hộ gia đình giữa 2 luật?,LĐĐ 2013 có quy định cho hộ gia đình. LĐĐ 2024 đã bỏ chủ thể hộ gia đình nên chỉ quy định cho cá nhân. **(So sánh Đ130 LĐĐ 2013 & Đ177 LĐĐ 2024\)**,So sánh,"Luật Đất đai 2013 quy định hạn mức nhận chuyển nhượng đất nông nghiệp của hộ gia đình, cá nhân. Luật Đất đai 2024 (sửa đổi) có thể điều chỉnh hạn mức này tùy theo loại đất và quy định cụ thể của từng địa phương.
",,0
V.9,Chuyển đất phi nông nghiệp không phải đất ở sang đất ở có phải nộp tiền sử dụng đất không?,"**Có**, phải thực hiện nghĩa vụ tài chính theo quy định. **(K2, Đ121, LĐĐ 2024\)**",Tình huống,"Có.
",,0
V.10,Thời hạn sử dụng đất khi chuyển từ đất nông nghiệp sang đất phi nông nghiệp được xác định như thế nào?,"Thời hạn được xác định theo thời hạn của loại đất sau khi được chuyển mục đích. **(K1d, Đ173, LĐĐ 2024\)**",Thủ tục,"Theo thời hạn sử dụng của loại đất sau khi chuyển mục đích.
",,0
